"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"United Kingdom (UK)","22.02.2015 11:30 - 22.02.2015 12:00 (UTC)","N/A","n/e","n/e","7898","13817","0","n/e","n/e","n/e","570","","714","n/e","n/e","7804","75","n/e","778","n/e","2852","3697"
"United Kingdom (UK)","22.02.2015 12:00 - 22.02.2015 12:30 (UTC)","N/A","n/e","n/e","8271","14040","0","n/e","n/e","n/e","718","","696","n/e","n/e","7799","75","n/e","771","n/e","2973","3720"
"United Kingdom (UK)","22.02.2015 12:30 - 22.02.2015 13:00 (UTC)","N/A","n/e","n/e","8524","14268","0","n/e","n/e","n/e","536","","695","n/e","n/e","7801","75","n/e","658","n/e","3075","3665"
"United Kingdom (UK)","22.02.2015 13:00 - 22.02.2015 13:30 (UTC)","N/A","n/e","n/e","8525","14281","0","n/e","n/e","n/e","619","","698","n/e","n/e","7720","74","n/e","545","n/e","3132","3699"
"United Kingdom (UK)","22.02.2015 13:30 - 22.02.2015 14:00 (UTC)","N/A","n/e","n/e","8574","14226","0","n/e","n/e","n/e","385","","736","n/e","n/e","7597","74","n/e","464","n/e","3174","3717"
"United Kingdom (UK)","22.02.2015 14:00 - 22.02.2015 14:30 (UTC)","N/A","n/e","n/e","8608","14272","0","n/e","n/e","n/e","479","","743","n/e","n/e","7563","74","n/e","382","n/e","3160","3812"
"United Kingdom (UK)","22.02.2015 14:30 - 22.02.2015 15:00 (UTC)","N/A","n/e","n/e","8584","14285","0","n/e","n/e","n/e","403","","743","n/e","n/e","7560","75","n/e","328","n/e","3137","3861"
"United Kingdom (UK)","22.02.2015 15:00 - 22.02.2015 15:30 (UTC)","N/A","n/e","n/e","8953","14185","0","n/e","n/e","n/e","533","","712","n/e","n/e","7568","75","n/e","274","n/e","3163","3706"
"United Kingdom (UK)","22.02.2015 15:30 - 22.02.2015 16:00 (UTC)","N/A","n/e","n/e","9564","14108","0","n/e","n/e","n/e","452","","754","n/e","n/e","7564","76","n/e","219","n/e","3259","3576"
"United Kingdom (UK)","22.02.2015 16:00 - 22.02.2015 16:30 (UTC)","N/A","n/e","n/e","10191","14156","0","n/e","n/e","n/e","900","","812","n/e","n/e","7567","75","n/e","163","n/e","3220","3339"
"United Kingdom (UK)","22.02.2015 16:30 - 22.02.2015 17:00 (UTC)","N/A","n/e","n/e","11127","14352","0","n/e","n/e","n/e","895","","972","n/e","n/e","7574","76","n/e","125","n/e","3157","3085"
"United Kingdom (UK)","22.02.2015 17:00 - 22.02.2015 17:30 (UTC)","N/A","n/e","n/e","12236","14495","0","n/e","n/e","n/e","1053","","1000","n/e","n/e","7568","76","n/e","87","n/e","3129","2881"
