"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"United Kingdom (UK)","01.01.2017 00:00 - 01.01.2017 00:30 (UTC)","N/A","n/e","n/e","7785","3860","0","n/e","n/e","n/e","0","","956","n/e","n/e","7401","2124","n/e","0","n/e","2141","2946"
"United Kingdom (UK)","01.01.2017 00:30 - 01.01.2017 01:00 (UTC)","N/A","n/e","n/e","8500","3871","0","n/e","n/e","n/e","36","","910","n/e","n/e","7406","2124","n/e","0","n/e","1843","2933"
"United Kingdom (UK)","01.01.2017 01:00 - 01.01.2017 01:30 (UTC)","N/A","n/e","n/e","8704","3854","0","n/e","n/e","n/e","0","","872","n/e","n/e","7403","2121","n/e","0","n/e","2077","2852"
"United Kingdom (UK)","01.01.2017 01:30 - 01.01.2017 02:00 (UTC)","N/A","n/e","n/e","7398","3864","0","n/e","n/e","n/e","0","","858","n/e","n/e","7413","2123","n/e","0","n/e","2566","3134"
"United Kingdom (UK)","01.01.2017 02:00 - 01.01.2017 02:30 (UTC)","N/A","n/e","n/e","7082","3848","0","n/e","n/e","n/e","0","","864","n/e","n/e","7382","2124","n/e","0","n/e","2390","3286"
"United Kingdom (UK)","01.01.2017 02:30 - 01.01.2017 03:00 (UTC)","N/A","n/e","n/e","7021","3582","0","n/e","n/e","n/e","0","","848","n/e","n/e","7222","2118","n/e","0","n/e","2256","3465"
"United Kingdom (UK)","01.01.2017 03:00 - 01.01.2017 03:30 (UTC)","N/A","n/e","n/e","6468","3347","0","n/e","n/e","n/e","0","","846","n/e","n/e","7175","2123","n/e","0","n/e","2129","3764"
"United Kingdom (UK)","01.01.2017 03:30 - 01.01.2017 04:00 (UTC)","N/A","n/e","n/e","5847","3238","0","n/e","n/e","n/e","0","","833","n/e","n/e","7170","2121","n/e","0","n/e","2259","3808"
"United Kingdom (UK)","01.01.2017 04:00 - 01.01.2017 04:30 (UTC)","N/A","n/e","n/e","5488","3153","0","n/e","n/e","n/e","0","","831","n/e","n/e","7169","2122","n/e","0","n/e","2391","3925"
"United Kingdom (UK)","01.01.2017 04:30 - 01.01.2017 05:00 (UTC)","N/A","n/e","n/e","5940","2656","0","n/e","n/e","n/e","0","","829","n/e","n/e","7178","2123","n/e","0","n/e","2475","3807"
"United Kingdom (UK)","01.01.2017 05:00 - 01.01.2017 05:30 (UTC)","N/A","n/e","n/e","5846","2699","0","n/e","n/e","n/e","0","","859","n/e","n/e","7179","2122","n/e","0","n/e","2562","3683"
"United Kingdom (UK)","01.01.2017 05:30 - 01.01.2017 06:00 (UTC)","N/A","n/e","n/e","5630","2787","0","n/e","n/e","n/e","0","","858","n/e","n/e","7187","2121","n/e","0","n/e","2531","3879"
"United Kingdom (UK)","01.01.2017 06:00 - 01.01.2017 06:30 (UTC)","N/A","n/e","n/e","5577","2998","0","n/e","n/e","n/e","0","","861","n/e","n/e","7254","2123","n/e","0","n/e","2311","3939"
"United Kingdom (UK)","01.01.2017 06:30 - 01.01.2017 07:00 (UTC)","N/A","n/e","n/e","5693","3137","0","n/e","n/e","n/e","0","","854","n/e","n/e","7402","2125","n/e","0","n/e","2358","3881"
"United Kingdom (UK)","01.01.2017 07:00 - 01.01.2017 07:30 (UTC)","N/A","n/e","n/e","5942","3246","0","n/e","n/e","n/e","0","","954","n/e","n/e","7399","2122","n/e","0","n/e","2074","4106"
"United Kingdom (UK)","01.01.2017 07:30 - 01.01.2017 08:00 (UTC)","N/A","n/e","n/e","5273","2653","0","n/e","n/e","n/e","0","","901","n/e","n/e","7411","2126","n/e","0","n/e","2028","4399"
"United Kingdom (UK)","01.01.2017 08:00 - 01.01.2017 08:30 (UTC)","N/A","n/e","n/e","5318","2355","0","n/e","n/e","n/e","376","","858","n/e","n/e","7411","2123","n/e","14","n/e","2164","4185"
"United Kingdom (UK)","01.01.2017 08:30 - 01.01.2017 09:00 (UTC)","N/A","n/e","n/e","5581","2843","0","n/e","n/e","n/e","392","","862","n/e","n/e","7410","2123","n/e","82","n/e","2278","3997"
"United Kingdom (UK)","01.01.2017 09:00 - 01.01.2017 09:30 (UTC)","N/A","n/e","n/e","5977","2873","0","n/e","n/e","n/e","644","","861","n/e","n/e","7425","2124","n/e","170","n/e","2328","4046"
"United Kingdom (UK)","01.01.2017 09:30 - 01.01.2017 10:00 (UTC)","N/A","n/e","n/e","7437","3059","0","n/e","n/e","n/e","341","","869","n/e","n/e","7428","2125","n/e","284","n/e","2285","4277"
"United Kingdom (UK)","01.01.2017 10:00 - 01.01.2017 10:30 (UTC)","N/A","n/e","n/e","7607","2938","0","n/e","n/e","n/e","341","","866","n/e","n/e","7425","2116","n/e","400","n/e","2625","4450"
"United Kingdom (UK)","01.01.2017 10:30 - 01.01.2017 11:00 (UTC)","N/A","n/e","n/e","8482","3066","0","n/e","n/e","n/e","343","","952","n/e","n/e","7411","2125","n/e","468","n/e","2823","4759"
"United Kingdom (UK)","01.01.2017 11:00 - 01.01.2017 11:30 (UTC)","N/A","n/e","n/e","9740","2882","0","n/e","n/e","n/e","467","","946","n/e","n/e","7408","2131","n/e","551","n/e","2739","4527"
"United Kingdom (UK)","01.01.2017 11:30 - 01.01.2017 12:00 (UTC)","N/A","n/e","n/e","10734","3183","0","n/e","n/e","n/e","341","","915","n/e","n/e","7408","2127","n/e","569","n/e","2543","4795"
"United Kingdom (UK)","01.01.2017 12:00 - 01.01.2017 12:30 (UTC)","N/A","n/e","n/e","10913","3543","0","n/e","n/e","n/e","342","","999","n/e","n/e","7410","2123","n/e","539","n/e","2757","5033"
"United Kingdom (UK)","01.01.2017 12:30 - 01.01.2017 13:00 (UTC)","N/A","n/e","n/e","11423","3763","0","n/e","n/e","n/e","361","","992","n/e","n/e","7402","2125","n/e","549","n/e","2903","5185"
"United Kingdom (UK)","01.01.2017 13:00 - 01.01.2017 13:30 (UTC)","N/A","n/e","n/e","11383","3901","0","n/e","n/e","n/e","349","","1005","n/e","n/e","7416","2124","n/e","504","n/e","2811","5233"
"United Kingdom (UK)","01.01.2017 13:30 - 01.01.2017 14:00 (UTC)","N/A","n/e","n/e","11582","3949","0","n/e","n/e","n/e","404","","994","n/e","n/e","7412","2127","n/e","448","n/e","2556","5188"
"United Kingdom (UK)","01.01.2017 14:00 - 01.01.2017 14:30 (UTC)","N/A","n/e","n/e","11697","4124","0","n/e","n/e","n/e","422","","1034","n/e","n/e","7404","2130","n/e","333","n/e","2189","5325"
"United Kingdom (UK)","01.01.2017 14:30 - 01.01.2017 15:00 (UTC)","N/A","n/e","n/e","N/A","N/A","N/A","n/e","n/e","n/e","N/A","N/A","N/A","n/e","n/e","N/A","N/A","n/e","284","n/e","2001","5210"
"United Kingdom (UK)","01.01.2017 15:00 - 01.01.2017 15:30 (UTC)","N/A","n/e","n/e","12379","4355","0","n/e","n/e","n/e","410","","1084","n/e","n/e","7398","2126","n/e","179","n/e","1859","4933"
"United Kingdom (UK)","01.01.2017 15:30 - 01.01.2017 16:00 (UTC)","N/A","n/e","n/e","12837","4377","0","n/e","n/e","n/e","341","","1131","n/e","n/e","7362","2126","n/e","49","n/e","1904","5125"
"United Kingdom (UK)","01.01.2017 16:00 - 01.01.2017 16:30 (UTC)","N/A","n/e","n/e","14254","4525","0","n/e","n/e","n/e","372","","1059","n/e","n/e","7208","2129","n/e","0","n/e","1817","4909"
"United Kingdom (UK)","01.01.2017 16:30 - 01.01.2017 17:00 (UTC)","N/A","n/e","n/e","15069","4762","0","n/e","n/e","n/e","386","","1060","n/e","n/e","7185","2128","n/e","0","n/e","2389","5259"
"United Kingdom (UK)","01.01.2017 17:00 - 01.01.2017 17:30 (UTC)","N/A","n/e","n/e","15536","4726","0","n/e","n/e","n/e","850","","1096","n/e","n/e","7176","2129","n/e","0","n/e","2194","4951"
"United Kingdom (UK)","01.01.2017 17:30 - 01.01.2017 18:00 (UTC)","N/A","n/e","n/e","15753","4874","0","n/e","n/e","n/e","746","","1144","n/e","n/e","7178","2131","n/e","0","n/e","2489","4558"
"United Kingdom (UK)","01.01.2017 18:00 - 01.01.2017 18:30 (UTC)","N/A","n/e","n/e","15088","4676","0","n/e","n/e","n/e","713","","1258","n/e","n/e","7184","2129","n/e","0","n/e","2657","4690"
