"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"United Kingdom (UK)","01.01.2020 00:00 - 01.01.2020 00:30 (UTC)","2347","n/e","n/e","8101","671","0","n/e","n/e","n/e","41","","672","n/e","n/e","6955","124","n/e","0","n/e","2335","3285"
"United Kingdom (UK)","01.01.2020 00:30 - 01.01.2020 01:00 (UTC)","2353","n/e","n/e","8445","668","0","n/e","n/e","n/e","62","","672","n/e","n/e","6948","124","n/e","0","n/e","2542","3266"
"United Kingdom (UK)","01.01.2020 01:00 - 01.01.2020 01:30 (UTC)","2359","n/e","n/e","8558","671","0","n/e","n/e","n/e","0","","662","n/e","n/e","6954","123","n/e","0","n/e","2586","3227"
"United Kingdom (UK)","01.01.2020 01:30 - 01.01.2020 02:00 (UTC)","2362","n/e","n/e","7910","666","0","n/e","n/e","n/e","0","","594","n/e","n/e","6945","121","n/e","0","n/e","2508","3173"
"United Kingdom (UK)","01.01.2020 02:00 - 01.01.2020 02:30 (UTC)","2358","n/e","n/e","7378","670","0","n/e","n/e","n/e","0","","548","n/e","n/e","6953","121","n/e","0","n/e","2437","3101"
"United Kingdom (UK)","01.01.2020 02:30 - 01.01.2020 03:00 (UTC)","2352","n/e","n/e","7108","671","0","n/e","n/e","n/e","0","","547","n/e","n/e","6953","121","n/e","0","n/e","2519","2981"
"United Kingdom (UK)","01.01.2020 03:00 - 01.01.2020 03:30 (UTC)","2359","n/e","n/e","7544","670","0","n/e","n/e","n/e","0","","529","n/e","n/e","6955","121","n/e","0","n/e","2276","3006"
"United Kingdom (UK)","01.01.2020 03:30 - 01.01.2020 04:00 (UTC)","2355","n/e","n/e","7388","670","0","n/e","n/e","n/e","0","","433","n/e","n/e","6945","122","n/e","0","n/e","2148","2974"
"United Kingdom (UK)","01.01.2020 04:00 - 01.01.2020 04:30 (UTC)","2354","n/e","n/e","7044","669","0","n/e","n/e","n/e","0","","440","n/e","n/e","6960","123","n/e","0","n/e","2108","3165"
"United Kingdom (UK)","01.01.2020 04:30 - 01.01.2020 05:00 (UTC)","2342","n/e","n/e","7035","670","0","n/e","n/e","n/e","0","","438","n/e","n/e","6967","122","n/e","0","n/e","2184","3220"
"United Kingdom (UK)","01.01.2020 05:00 - 01.01.2020 05:30 (UTC)","2350","n/e","n/e","6380","669","0","n/e","n/e","n/e","0","","473","n/e","n/e","6958","123","n/e","0","n/e","2015","3549"
"United Kingdom (UK)","01.01.2020 05:30 - 01.01.2020 06:00 (UTC)","2367","n/e","n/e","6395","670","0","n/e","n/e","n/e","0","","479","n/e","n/e","6956","124","n/e","0","n/e","1820","3614"
"United Kingdom (UK)","01.01.2020 06:00 - 01.01.2020 06:30 (UTC)","2292","n/e","n/e","6380","670","0","n/e","n/e","n/e","0","","484","n/e","n/e","6966","123","n/e","0","n/e","1848","3651"
"United Kingdom (UK)","01.01.2020 06:30 - 01.01.2020 07:00 (UTC)","2271","n/e","n/e","6586","672","0","n/e","n/e","n/e","0","","488","n/e","n/e","6961","127","n/e","0","n/e","1817","3667"
"United Kingdom (UK)","01.01.2020 07:00 - 01.01.2020 07:30 (UTC)","2277","n/e","n/e","6745","670","0","n/e","n/e","n/e","0","","534","n/e","n/e","6958","125","n/e","0","n/e","1657","3716"
"United Kingdom (UK)","01.01.2020 07:30 - 01.01.2020 08:00 (UTC)","2343","n/e","n/e","6945","670","0","n/e","n/e","n/e","0","","532","n/e","n/e","6964","122","n/e","0","n/e","1424","3835"
"United Kingdom (UK)","01.01.2020 08:00 - 01.01.2020 08:30 (UTC)","2361","n/e","n/e","7092","748","0","n/e","n/e","n/e","0","","661","n/e","n/e","6955","121","n/e","2","n/e","1177","4009"
"United Kingdom (UK)","01.01.2020 08:30 - 01.01.2020 09:00 (UTC)","2283","n/e","n/e","7139","1016","0","n/e","n/e","n/e","0","","745","n/e","n/e","6954","124","n/e","34","n/e","1315","4019"
"United Kingdom (UK)","01.01.2020 09:00 - 01.01.2020 09:30 (UTC)","2361","n/e","n/e","8206","1175","0","n/e","n/e","n/e","0","","783","n/e","n/e","6952","124","n/e","205","n/e","1240","3975"
"United Kingdom (UK)","01.01.2020 09:30 - 01.01.2020 10:00 (UTC)","2329","n/e","n/e","9494","1237","0","n/e","n/e","n/e","0","","846","n/e","n/e","6954","123","n/e","476","n/e","1260","3882"
"United Kingdom (UK)","01.01.2020 10:00 - 01.01.2020 10:30 (UTC)","2355","n/e","n/e","10306","1314","0","n/e","n/e","n/e","0","","847","n/e","n/e","6953","122","n/e","754","n/e","1397","3936"
