"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"United Kingdom (UK)","01.01.2016 00:00 - 01.01.2016 00:30 (UTC)","N/A","n/e","n/e","5329","3659","0","n/e","n/e","n/e","0","","851","n/e","n/e","8289","2036","n/e","0","n/e","3252","4076"
"United Kingdom (UK)","01.01.2016 00:30 - 01.01.2016 01:00 (UTC)","N/A","n/e","n/e","6662","3551","0","n/e","n/e","n/e","0","","662","n/e","n/e","8292","2043","n/e","0","n/e","2817","3920"
"United Kingdom (UK)","01.01.2016 01:00 - 01.01.2016 01:30 (UTC)","N/A","n/e","n/e","7017","4003","0","n/e","n/e","n/e","0","","646","n/e","n/e","8299","1940","n/e","0","n/e","2501","3621"
"United Kingdom (UK)","01.01.2016 01:30 - 01.01.2016 02:00 (UTC)","N/A","n/e","n/e","7158","3957","0","n/e","n/e","n/e","15","","643","n/e","n/e","8286","1946","n/e","0","n/e","2155","3467"
"United Kingdom (UK)","01.01.2016 02:00 - 01.01.2016 02:30 (UTC)","N/A","n/e","n/e","6961","3756","0","n/e","n/e","n/e","0","","642","n/e","n/e","8282","2047","n/e","0","n/e","1605","3231"
"United Kingdom (UK)","01.01.2016 02:30 - 01.01.2016 03:00 (UTC)","N/A","n/e","n/e","6945","3603","0","n/e","n/e","n/e","0","","643","n/e","n/e","8271","2043","n/e","0","n/e","1208","3072"
"United Kingdom (UK)","01.01.2016 03:00 - 01.01.2016 03:30 (UTC)","N/A","n/e","n/e","7420","3229","0","n/e","n/e","n/e","148","","644","n/e","n/e","8267","2037","n/e","0","n/e","933","3000"
"United Kingdom (UK)","01.01.2016 03:30 - 01.01.2016 04:00 (UTC)","N/A","n/e","n/e","7419","3248","0","n/e","n/e","n/e","41","","780","n/e","n/e","8269","2035","n/e","0","n/e","815","2860"
"United Kingdom (UK)","01.01.2016 04:00 - 01.01.2016 04:30 (UTC)","N/A","n/e","n/e","6803","3429","0","n/e","n/e","n/e","0","","894","n/e","n/e","8235","2039","n/e","0","n/e","621","2777"
"United Kingdom (UK)","01.01.2016 04:30 - 01.01.2016 05:00 (UTC)","N/A","n/e","n/e","6362","3429","0","n/e","n/e","n/e","0","","960","n/e","n/e","8231","2043","n/e","0","n/e","505","2743"
"United Kingdom (UK)","01.01.2016 05:00 - 01.01.2016 05:30 (UTC)","N/A","n/e","n/e","6272","3407","0","n/e","n/e","n/e","0","","961","n/e","n/e","8221","2043","n/e","0","n/e","463","2610"
"United Kingdom (UK)","01.01.2016 05:30 - 01.01.2016 06:00 (UTC)","N/A","n/e","n/e","6064","3367","0","n/e","n/e","n/e","0","","959","n/e","n/e","8215","2044","n/e","0","n/e","549","2570"
"United Kingdom (UK)","01.01.2016 06:00 - 01.01.2016 06:30 (UTC)","N/A","n/e","n/e","5949","3576","0","n/e","n/e","n/e","31","","960","n/e","n/e","8222","2039","n/e","0","n/e","710","2693"
"United Kingdom (UK)","01.01.2016 06:30 - 01.01.2016 07:00 (UTC)","N/A","n/e","n/e","6097","3651","0","n/e","n/e","n/e","0","","891","n/e","n/e","8224","2006","n/e","0","n/e","815","2638"
"United Kingdom (UK)","01.01.2016 07:00 - 01.01.2016 07:30 (UTC)","N/A","n/e","n/e","6470","3695","0","n/e","n/e","n/e","0","","1011","n/e","n/e","8225","2012","n/e","0","n/e","910","2703"
"United Kingdom (UK)","01.01.2016 07:30 - 01.01.2016 08:00 (UTC)","N/A","n/e","n/e","6488","3864","0","n/e","n/e","n/e","149","","1021","n/e","n/e","8213","2032","n/e","0","n/e","947","2782"
"United Kingdom (UK)","01.01.2016 08:00 - 01.01.2016 08:30 (UTC)","N/A","n/e","n/e","5795","3661","0","n/e","n/e","n/e","50","","893","n/e","n/e","8225","1970","n/e","0","n/e","1047","2944"
"United Kingdom (UK)","01.01.2016 08:30 - 01.01.2016 09:00 (UTC)","N/A","n/e","n/e","6232","3549","0","n/e","n/e","n/e","214","","1025","n/e","n/e","8224","2039","n/e","28","n/e","1096","3066"
"United Kingdom (UK)","01.01.2016 09:00 - 01.01.2016 09:30 (UTC)","N/A","n/e","n/e","5944","3696","0","n/e","n/e","n/e","408","","891","n/e","n/e","8223","2041","n/e","56","n/e","1123","3243"
"United Kingdom (UK)","01.01.2016 09:30 - 01.01.2016 10:00 (UTC)","N/A","n/e","n/e","6916","3828","0","n/e","n/e","n/e","342","","973","n/e","n/e","8224","2038","n/e","206","n/e","1262","3348"
"United Kingdom (UK)","01.01.2016 10:00 - 01.01.2016 10:30 (UTC)","N/A","n/e","n/e","7778","3764","0","n/e","n/e","n/e","490","","689","n/e","n/e","8216","2006","n/e","356","n/e","1418","3598"
