"Balancing Time Unit (UTC)","+ Imbalance Price [GBP/MWh] - MBA|GB","- Imbalance Price [GBP/MWh] - MBA|GB","Total Imbalance [MWh] - MBA|GB","Situation","Status"
"29.03.2018 05:30 - 29.03.2018 06:00","62.00","62.00","9","","Final"
"29.03.2018 06:00 - 29.03.2018 06:30","82.80","82.80","230","","Final"
"29.03.2018 06:30 - 29.03.2018 07:00","96.30","96.30","260","","Final"
"29.03.2018 07:00 - 29.03.2018 07:30","99.80","99.80","435","","Final"
"29.03.2018 07:30 - 29.03.2018 08:00","82.00","82.00","149","","Final"
"29.03.2018 08:00 - 29.03.2018 08:30","82.00","82.00","140","","Final"
"29.03.2018 08:30 - 29.03.2018 09:00","41.07","41.07","207","","Final"
"29.03.2018 09:00 - 29.03.2018 09:30","40.95","40.95","256","","Final"
"29.03.2018 09:30 - 29.03.2018 10:00","40.80","40.80","322","","Final"
"29.03.2018 10:00 - 29.03.2018 10:30","40.46","40.46","324","","Final"
"29.03.2018 10:30 - 29.03.2018 11:00","41.10","41.10","59","","Final"
"29.03.2018 11:00 - 29.03.2018 11:30","94.00","94.00","159","","Final"
"29.03.2018 11:30 - 29.03.2018 12:00","93.33","93.33","335","","Final"
"29.03.2018 12:00 - 29.03.2018 12:30","55.40","55.40","123","","Final"
"29.03.2018 12:30 - 29.03.2018 13:00","41.10","41.10","96","","Final"
"29.03.2018 13:00 - 29.03.2018 13:30","41.10","41.10","139","","Final"
"29.03.2018 13:30 - 29.03.2018 14:00","40.87","40.87","193","","Final"
"29.03.2018 14:00 - 29.03.2018 14:30","40.82","40.82","109","","Final"
"29.03.2018 14:30 - 29.03.2018 15:00","41.05","41.05","82","","Final"
"29.03.2018 15:00 - 29.03.2018 15:30","41.10","41.10","90","","Final"
"29.03.2018 15:30 - 29.03.2018 16:00","40.75","40.75","227","","Final"
"29.03.2018 16:00 - 29.03.2018 16:30","41.10","41.10","24","","Final"
"29.03.2018 16:30 - 29.03.2018 17:00","40.80","40.80","135","","Final"
"29.03.2018 17:00 - 29.03.2018 17:30","39.11","39.11","508","","Final"
"29.03.2018 17:30 - 29.03.2018 18:00","39.25","39.25","620","","Final"
"29.03.2018 18:00 - 29.03.2018 18:30","39.10","39.10","758","","Final"
"29.03.2018 18:30 - 29.03.2018 19:00","39.19","39.19","391","","Final"
"29.03.2018 19:00 - 29.03.2018 19:30","40.42","40.42","304","","Final"
"29.03.2018 19:30 - 29.03.2018 20:00","39.11","39.11","647","","Final"
"29.03.2018 20:00 - 29.03.2018 20:30","40.59","40.59","110","","Final"
"29.03.2018 20:30 - 29.03.2018 21:00","40.65","40.65","131","","Final"
"29.03.2018 21:00 - 29.03.2018 21:30","40.66","40.66","113","","Final"
"29.03.2018 21:30 - 29.03.2018 22:00","57.30","57.30","94","","Final"
"29.03.2018 22:00 - 29.03.2018 22:30","65.00","65.00","416","","Final"
"29.03.2018 22:30 - 29.03.2018 23:00","64.96","64.96","328","","Final"
"29.03.2018 23:00 - 29.03.2018 23:30","58.46","58.46","28","","Final"
"29.03.2018 23:30 - 30.03.2018 00:00","40.23","40.23","137","","Final"
"30.03.2018 00:00 - 30.03.2018 00:30","58.75","58.75","6","","Final"
"30.03.2018 00:30 - 30.03.2018 01:00","64.95","64.95","434","","Final"
"30.03.2018 01:00 - 30.03.2018 01:30","64.49","64.49","270","","Final"
"30.03.2018 01:30 - 30.03.2018 02:00","60.88","60.88","169","","Final"
"30.03.2018 02:00 - 30.03.2018 02:30","58.75","58.75","156","","Final"
"30.03.2018 02:30 - 30.03.2018 03:00","62.92","62.92","233","","Final"
"30.03.2018 03:00 - 30.03.2018 03:30","63.53","63.53","233","","Final"
"30.03.2018 03:30 - 30.03.2018 04:00","61.00","61.00","205","","Final"
"30.03.2018 04:00 - 30.03.2018 04:30","64.95","64.95","400","","Final"
"30.03.2018 04:30 - 30.03.2018 05:00","64.95","64.95","390","","Final"
"30.03.2018 05:00 - 30.03.2018 05:30","68.00","68.00","518","","Final"
"30.03.2018 05:30 - 30.03.2018 06:00","58.50","58.50","10","","Final"
"30.03.2018 06:00 - 30.03.2018 06:30","68.00","68.00","59","","Final"
"30.03.2018 06:30 - 30.03.2018 07:00","86.43","86.43","75","","Final"
"30.03.2018 07:00 - 30.03.2018 07:30","93.00","93.00","397","","Final"
"30.03.2018 07:30 - 30.03.2018 08:00","93.00","93.00","464","","Final"
"30.03.2018 08:00 - 30.03.2018 08:30","90.13","90.13","355","","Final"
"30.03.2018 08:30 - 30.03.2018 09:00","93.78","93.78","502","","Final"
"30.03.2018 09:00 - 30.03.2018 09:30","88.04","88.04","400","","Final"
"30.03.2018 09:30 - 30.03.2018 10:00","93.13","93.13","583","","Final"
"30.03.2018 10:00 - 30.03.2018 10:30","107.52","107.52","617","","Final"
"30.03.2018 10:30 - 30.03.2018 11:00","113.51","113.51","514","","Final"
"30.03.2018 11:00 - 30.03.2018 11:30","93.78","93.78","556","","Final"
"30.03.2018 11:30 - 30.03.2018 12:00","81.95","81.95","317","","Final"
"30.03.2018 12:00 - 30.03.2018 12:30","81.95","81.95","162","","Final"
"30.03.2018 12:30 - 30.03.2018 13:00","40.60","40.60","11","","Final"
"30.03.2018 13:00 - 30.03.2018 13:30","85.38","85.38","201","","Final"
"30.03.2018 13:30 - 30.03.2018 14:00","75.40","75.40","86","","Final"
"30.03.2018 14:00 - 30.03.2018 14:30","39.07","39.07","211","","Final"
"30.03.2018 14:30 - 30.03.2018 15:00","39.07","39.07","259","","Final"
"30.03.2018 15:00 - 30.03.2018 15:30","39.07","39.07","149","","Final"
"30.03.2018 15:30 - 30.03.2018 16:00","79.57","79.57","123","","Final"
"30.03.2018 16:00 - 30.03.2018 16:30","90.00","90.00","298","","Final"
"30.03.2018 16:30 - 30.03.2018 17:00","104.05","104.05","372","","Final"
"30.03.2018 17:00 - 30.03.2018 17:30","65.97","65.97","138","","Final"
"30.03.2018 17:30 - 30.03.2018 18:00","39.20","39.20","230","","Final"
"30.03.2018 18:00 - 30.03.2018 18:30","38.72","38.72","357","","Final"
"30.03.2018 18:30 - 30.03.2018 19:00","39.20","39.20","198","","Final"
"30.03.2018 19:00 - 30.03.2018 19:30","21.79","21.79","472","","Final"
"30.03.2018 19:30 - 30.03.2018 20:00","36.65","36.65","514","","Final"
"30.03.2018 20:00 - 30.03.2018 20:30","38.70","38.70","113","","Final"
"30.03.2018 20:30 - 30.03.2018 21:00","64.67","64.67","52","","Final"
"30.03.2018 21:00 - 30.03.2018 21:30","63.50","63.50","77","","Final"
"30.03.2018 21:30 - 30.03.2018 22:00","39.20","39.20","270","","Final"
"30.03.2018 22:00 - 30.03.2018 22:30","39.16","39.16","225","","Final"
"30.03.2018 22:30 - 30.03.2018 23:00","39.04","39.04","222","","Final"
"30.03.2018 23:00 - 30.03.2018 23:30","30.69","30.69","271","","Final"
"30.03.2018 23:30 - 31.03.2018 00:00","23.68","23.68","560","","Final"
"31.03.2018 00:00 - 31.03.2018 00:30","24.81","24.81","558","","Final"
"31.03.2018 00:30 - 31.03.2018 01:00","38.00","38.00","116","","Final"
"31.03.2018 01:00 - 31.03.2018 01:30","37.15","37.15","183","","Final"
"31.03.2018 01:30 - 31.03.2018 02:00","36.30","36.30","378","","Final"
"31.03.2018 02:00 - 31.03.2018 02:30","55.00","55.00","12","","Final"
"31.03.2018 02:30 - 31.03.2018 03:00","37.58","37.58","89","","Final"
"31.03.2018 03:00 - 31.03.2018 03:30","36.84","36.84","166","","Final"
"31.03.2018 03:30 - 31.03.2018 04:00","36.82","36.82","178","","Final"
"31.03.2018 04:00 - 31.03.2018 04:30","55.00","55.00","26","","Final"
"31.03.2018 04:30 - 31.03.2018 05:00","55.00","55.00","23","","Final"
"31.03.2018 05:00 - 31.03.2018 05:30","59.85","59.85","145","","Final"
"31.03.2018 05:30 - 31.03.2018 06:00","38.73","38.73","50","","Final"
"31.03.2018 06:00 - 31.03.2018 06:30","38.09","38.09","252","","Final"
"31.03.2018 06:30 - 31.03.2018 07:00","62.00","62.00","127","","Final"
"31.03.2018 07:00 - 31.03.2018 07:30","62.21","62.21","209","","Final"
"31.03.2018 07:30 - 31.03.2018 08:00","68.96","68.96","223","","Final"
"31.03.2018 08:00 - 31.03.2018 08:30","72.85","72.85","336","","Final"
"31.03.2018 08:30 - 31.03.2018 09:00","99.58","99.58","632","","Final"
"31.03.2018 09:00 - 31.03.2018 09:30","75.60","75.60","370","","Final"
"31.03.2018 09:30 - 31.03.2018 10:00","91.94","91.94","561","","Final"
"31.03.2018 10:00 - 31.03.2018 10:30","64.00","64.00","412","","Final"
"31.03.2018 10:30 - 31.03.2018 11:00","64.00","64.00","450","","Final"
"31.03.2018 11:00 - 31.03.2018 11:30","94.40","94.40","497","","Final"
"31.03.2018 11:30 - 31.03.2018 12:00","64.00","64.00","378","","Final"
"31.03.2018 12:00 - 31.03.2018 12:30","79.04","79.04","623","","Final"
"31.03.2018 12:30 - 31.03.2018 13:00","68.50","68.50","364","","Final"
"31.03.2018 13:00 - 31.03.2018 13:30","71.75","71.75","416","","Final"
"31.03.2018 13:30 - 31.03.2018 14:00","68.50","68.50","424","","Final"
"31.03.2018 14:00 - 31.03.2018 14:30","78.27","78.27","538","","Final"
"31.03.2018 14:30 - 31.03.2018 15:00","73.79","73.79","575","","Final"
"31.03.2018 15:00 - 31.03.2018 15:30","70.19","70.19","552","","Final"
"31.03.2018 15:30 - 31.03.2018 16:00","108.00","108.00","556","","Final"
"31.03.2018 16:00 - 31.03.2018 16:30","108.00","108.00","536","","Final"
"31.03.2018 16:30 - 31.03.2018 17:00","112.00","112.00","945","","Final"
"31.03.2018 17:00 - 31.03.2018 17:30","112.00","112.00","860","","Final"
"31.03.2018 17:30 - 31.03.2018 18:00","112.00","112.00","893","","Final"
"31.03.2018 18:00 - 31.03.2018 18:30","109.89","109.89","671","","Final"
"31.03.2018 18:30 - 31.03.2018 19:00","88.48","88.48","445","","Final"
"31.03.2018 19:00 - 31.03.2018 19:30","107.00","107.00","416","","Final"
"31.03.2018 19:30 - 31.03.2018 20:00","81.95","81.95","45","","Final"
"31.03.2018 20:00 - 31.03.2018 20:30","93.00","93.00","109","","Final"
"31.03.2018 20:30 - 31.03.2018 21:00","37.00","37.00","384","","Final"
"31.03.2018 21:00 - 31.03.2018 21:30","39.28","39.28","127","","Final"
"31.03.2018 21:30 - 31.03.2018 22:00","60.00","60.00","60","","Final"
"31.03.2018 22:00 - 31.03.2018 22:30","60.00","60.00","79","","Final"
"31.03.2018 22:30 - 31.03.2018 23:00","65.84","65.84","142","","Final"
"31.03.2018 23:00 - 31.03.2018 23:30","68.99","68.99","161","","Final"
"31.03.2018 23:30 - 01.04.2018 00:00","59.91","59.91","142","","Final"
"01.04.2018 00:00 - 01.04.2018 00:30","42.39","42.39","2","","Final"
"01.04.2018 00:30 - 01.04.2018 01:00","54.45","54.45","180","","Final"
"01.04.2018 01:00 - 01.04.2018 01:30","57.18","57.18","393","","Final"
"01.04.2018 01:30 - 01.04.2018 02:00","71.59","71.59","557","","Final"
"01.04.2018 02:00 - 01.04.2018 02:30","61.08","61.08","513","","Final"
"01.04.2018 02:30 - 01.04.2018 03:00","66.76","66.76","463","","Final"
"01.04.2018 03:00 - 01.04.2018 03:30","60.02","60.02","383","","Final"
"01.04.2018 03:30 - 01.04.2018 04:00","57.00","57.00","221","","Final"
"01.04.2018 04:00 - 01.04.2018 04:30","60.00","60.00","298","","Final"
"01.04.2018 04:30 - 01.04.2018 05:00","61.44","61.44","226","","Final"
"01.04.2018 05:00 - 01.04.2018 05:30","65.00","65.00","245","","Final"
"01.04.2018 05:30 - 01.04.2018 06:00","60.19","60.19","57","","Final"
"01.04.2018 06:00 - 01.04.2018 06:30","38.40","38.40","152","","Final"
"01.04.2018 06:30 - 01.04.2018 07:00","59.89","59.89","151","","Final"
"01.04.2018 07:00 - 01.04.2018 07:30","60.11","60.11","160","","Final"
"01.04.2018 07:30 - 01.04.2018 08:00","39.40","39.40","11","","Final"
"01.04.2018 08:00 - 01.04.2018 08:30","39.36","39.36","353","","Final"
"01.04.2018 08:30 - 01.04.2018 09:00","39.41","39.41","65","","Final"
"01.04.2018 09:00 - 01.04.2018 09:30","76.30","76.30","167","","Final"
"01.04.2018 09:30 - 01.04.2018 10:00","93.00","93.00","381","","Final"
"01.04.2018 10:00 - 01.04.2018 10:30","93.00","93.00","432","","Final"
"01.04.2018 10:30 - 01.04.2018 11:00","94.37","94.37","415","","Final"
"01.04.2018 11:00 - 01.04.2018 11:30","93.00","93.00","498","","Final"
"01.04.2018 11:30 - 01.04.2018 12:00","93.00","93.00","454","","Final"
"01.04.2018 12:00 - 01.04.2018 12:30","93.00","93.00","486","","Final"
"01.04.2018 12:30 - 01.04.2018 13:00","82.50","82.50","343","","Final"
"01.04.2018 13:00 - 01.04.2018 13:30","78.15","78.15","337","","Final"
"01.04.2018 13:30 - 01.04.2018 14:00","76.65","76.65","234","","Final"
"01.04.2018 14:00 - 01.04.2018 14:30","75.00","75.00","73","","Final"
"01.04.2018 14:30 - 01.04.2018 15:00","75.00","75.00","50","","Final"
"01.04.2018 15:00 - 01.04.2018 15:30","75.00","75.00","111","","Final"
"01.04.2018 15:30 - 01.04.2018 16:00","75.51","75.51","136","","Final"
"01.04.2018 16:00 - 01.04.2018 16:30","39.48","39.48","156","","Final"
"01.04.2018 16:30 - 01.04.2018 17:00","39.41","39.41","406","","Final"
"01.04.2018 17:00 - 01.04.2018 17:30","39.71","39.71","331","","Final"
"01.04.2018 17:30 - 01.04.2018 18:00","40.30","40.30","323","","Final"
"01.04.2018 18:00 - 01.04.2018 18:30","40.79","40.79","86","","Final"
"01.04.2018 18:30 - 01.04.2018 19:00","69.81","69.81","42","","Final"
"01.04.2018 19:00 - 01.04.2018 19:30","40.55","40.55","112","","Final"
"01.04.2018 19:30 - 01.04.2018 20:00","40.30","40.30","381","","Final"
"01.04.2018 20:00 - 01.04.2018 20:30","66.69","66.69","23","","Final"
"01.04.2018 20:30 - 01.04.2018 21:00","108.86","108.86","150","","Final"
"01.04.2018 21:00 - 01.04.2018 21:30","65.00","65.00","244","","Final"
"01.04.2018 21:30 - 01.04.2018 22:00","64.88","64.88","441","","Final"
"01.04.2018 22:00 - 01.04.2018 22:30","65.94","65.94","516","","Final"
"01.04.2018 22:30 - 01.04.2018 23:00","60.59","60.59","124","","Final"
"01.04.2018 23:00 - 01.04.2018 23:30","40.65","40.65","79","","Final"
"01.04.2018 23:30 - 02.04.2018 00:00","40.65","40.65","23","","Final"
"02.04.2018 00:00 - 02.04.2018 00:30","60.00","60.00","284","","Final"
"02.04.2018 00:30 - 02.04.2018 01:00","62.64","62.64","798","","Final"
"02.04.2018 01:00 - 02.04.2018 01:30","62.00","62.00","815","","Final"
"02.04.2018 01:30 - 02.04.2018 02:00","60.00","60.00","535","","Final"
"02.04.2018 02:00 - 02.04.2018 02:30","60.00","60.00","445","","Final"
"02.04.2018 02:30 - 02.04.2018 03:00","59.75","59.75","279","","Final"
"02.04.2018 03:00 - 02.04.2018 03:30","59.69","59.69","138","","Final"
"02.04.2018 03:30 - 02.04.2018 04:00","58.99","58.99","69","","Final"
"02.04.2018 04:00 - 02.04.2018 04:30","59.68","59.68","125","","Final"
"02.04.2018 04:30 - 02.04.2018 05:00","40.79","40.79","65","","Final"
"02.04.2018 05:00 - 02.04.2018 05:30","38.15","38.15","73","","Final"
"02.04.2018 05:30 - 02.04.2018 06:00","38.43","38.43","362","","Final"
"02.04.2018 06:00 - 02.04.2018 06:30","37.05","37.05","810","","Final"
"02.04.2018 06:30 - 02.04.2018 07:00","38.15","38.15","714","","Final"
"02.04.2018 07:00 - 02.04.2018 07:30","38.46","38.46","406","","Final"
"02.04.2018 07:30 - 02.04.2018 08:00","40.50","40.50","250","","Final"
"02.04.2018 08:00 - 02.04.2018 08:30","40.50","40.50","197","","Final"
"02.04.2018 08:30 - 02.04.2018 09:00","72.52","72.52","57","","Final"
"02.04.2018 09:00 - 02.04.2018 09:30","77.48","77.48","415","","Final"
"02.04.2018 09:30 - 02.04.2018 10:00","78.00","78.00","500","","Final"
"02.04.2018 10:00 - 02.04.2018 10:30","93.00","93.00","498","","Final"
"02.04.2018 10:30 - 02.04.2018 11:00","93.69","93.69","562","","Final"
"02.04.2018 11:00 - 02.04.2018 11:30","101.90","101.90","746","","Final"
"02.04.2018 11:30 - 02.04.2018 12:00","99.13","99.13","691","","Final"
"02.04.2018 12:00 - 02.04.2018 12:30","79.50","79.50","587","","Final"
"02.04.2018 12:30 - 02.04.2018 13:00","93.00","93.00","460","","Final"
"02.04.2018 13:00 - 02.04.2018 13:30","94.28","94.28","672","","Final"
"02.04.2018 13:30 - 02.04.2018 14:00","76.29","76.29","549","","Final"
"02.04.2018 14:00 - 02.04.2018 14:30","95.94","95.94","452","","Final"
"02.04.2018 14:30 - 02.04.2018 15:00","70.00","70.00","358","","Final"
"02.04.2018 15:00 - 02.04.2018 15:30","71.85","71.85","305","","Final"
"02.04.2018 15:30 - 02.04.2018 16:00","93.16","93.16","386","","Final"
"02.04.2018 16:00 - 02.04.2018 16:30","69.12","69.12","11","","Final"
"02.04.2018 16:30 - 02.04.2018 17:00","40.77","40.77","40","","Final"
"02.04.2018 17:00 - 02.04.2018 17:30","90.50","90.50","9","","Final"
"02.04.2018 17:30 - 02.04.2018 18:00","41.23","41.23","38","","Final"
"02.04.2018 18:00 - 02.04.2018 18:30","41.13","41.13","155","","Final"
"02.04.2018 18:30 - 02.04.2018 19:00","41.25","41.25","17","","Final"
"02.04.2018 19:00 - 02.04.2018 19:30","90.50","90.50","17","","Final"
"02.04.2018 19:30 - 02.04.2018 20:00","39.62","39.62","366","","Final"
"02.04.2018 20:00 - 02.04.2018 20:30","41.20","41.20","256","","Final"
"02.04.2018 20:30 - 02.04.2018 21:00","41.39","41.39","104","","Final"
"02.04.2018 21:00 - 02.04.2018 21:30","65.00","65.00","215","","Final"
"02.04.2018 21:30 - 02.04.2018 22:00","64.36","64.36","57","","Final"
"02.04.2018 22:00 - 02.04.2018 22:30","60.00","60.00","40","","Final"
"02.04.2018 22:30 - 02.04.2018 23:00","41.36","41.36","26","","Final"
"02.04.2018 23:00 - 02.04.2018 23:30","37.00","37.00","416","","Final"
"02.04.2018 23:30 - 03.04.2018 00:00","37.00","37.00","558","","Final"
"03.04.2018 00:00 - 03.04.2018 00:30","37.00","37.00","337","","Final"
"03.04.2018 00:30 - 03.04.2018 01:00","59.90","59.90","65","","Final"
"03.04.2018 01:00 - 03.04.2018 01:30","59.90","59.90","203","","Final"
"03.04.2018 01:30 - 03.04.2018 02:00","59.90","59.90","265","","Final"
"03.04.2018 02:00 - 03.04.2018 02:30","59.88","59.88","178","","Final"
"03.04.2018 02:30 - 03.04.2018 03:00","59.85","59.85","239","","Final"
"03.04.2018 03:00 - 03.04.2018 03:30","59.90","59.90","348","","Final"
"03.04.2018 03:30 - 03.04.2018 04:00","59.87","59.87","273","","Final"
"03.04.2018 04:00 - 03.04.2018 04:30","57.75","57.75","40","","Final"
"03.04.2018 04:30 - 03.04.2018 05:00","39.75","39.75","139","","Final"
"03.04.2018 05:00 - 03.04.2018 05:30","57.75","57.75","117","","Final"
"03.04.2018 05:30 - 03.04.2018 06:00","38.89","38.89","396","","Final"
"03.04.2018 06:00 - 03.04.2018 06:30","40.41","40.41","615","","Final"
"03.04.2018 06:30 - 03.04.2018 07:00","40.68","40.68","331","","Final"
"03.04.2018 07:00 - 03.04.2018 07:30","46.24","46.24","25","","Final"
"03.04.2018 07:30 - 03.04.2018 08:00","82.38","82.38","265","","Final"
"03.04.2018 08:00 - 03.04.2018 08:30","93.00","93.00","461","","Final"
"03.04.2018 08:30 - 03.04.2018 09:00","78.00","78.00","3","","Final"
"03.04.2018 09:00 - 03.04.2018 09:30","42.27","42.27","32","","Final"
"03.04.2018 09:30 - 03.04.2018 10:00","41.03","41.03","122","","Final"
"03.04.2018 10:00 - 03.04.2018 10:30","79.59","79.59","185","","Final"
"03.04.2018 10:30 - 03.04.2018 11:00","58.45","58.45","4","","Final"
"03.04.2018 11:00 - 03.04.2018 11:30","65.84","65.84","317","","Final"
"03.04.2018 11:30 - 03.04.2018 12:00","58.25","58.25","17","","Final"
"03.04.2018 12:00 - 03.04.2018 12:30","36.05","36.05","761","","Final"
"03.04.2018 12:30 - 03.04.2018 13:00","37.15","37.15","871","","Final"
"03.04.2018 13:00 - 03.04.2018 13:30","37.00","37.00","754","","Final"
"03.04.2018 13:30 - 03.04.2018 14:00","35.73","35.73","726","","Final"
"03.04.2018 14:00 - 03.04.2018 14:30","37.79","37.79","524","","Final"
"03.04.2018 14:30 - 03.04.2018 15:00","38.25","38.25","312","","Final"
"03.04.2018 15:00 - 03.04.2018 15:30","38.20","38.20","395","","Final"
"03.04.2018 15:30 - 03.04.2018 16:00","39.00","39.00","467","","Final"
"03.04.2018 16:00 - 03.04.2018 16:30","39.00","39.00","605","","Final"
"03.04.2018 16:30 - 03.04.2018 17:00","39.20","39.20","408","","Final"
"03.04.2018 17:00 - 03.04.2018 17:30","41.40","41.40","141","","Final"
"03.04.2018 17:30 - 03.04.2018 18:00","41.55","41.55","41","","Final"
"03.04.2018 18:00 - 03.04.2018 18:30","41.55","41.55","17","","Final"
"03.04.2018 18:30 - 03.04.2018 19:00","71.50","71.50","113","","Final"
"03.04.2018 19:00 - 03.04.2018 19:30","93.50","93.50","204","","Final"
"03.04.2018 19:30 - 03.04.2018 20:00","55.32","55.32","15","","Final"
"03.04.2018 20:00 - 03.04.2018 20:30","71.50","71.50","282","","Final"
"03.04.2018 20:30 - 03.04.2018 21:00","40.54","40.54","146","","Final"
"03.04.2018 21:00 - 03.04.2018 21:30","41.25","41.25","17","","Final"
"03.04.2018 21:30 - 03.04.2018 22:00","57.75","57.75","2","","Final"
"03.04.2018 22:00 - 03.04.2018 22:30","64.00","64.00","91","","Final"
"03.04.2018 22:30 - 03.04.2018 23:00","53.12","53.12","13","","Final"
"03.04.2018 23:00 - 03.04.2018 23:30","39.28","39.28","44","","Final"
"03.04.2018 23:30 - 04.04.2018 00:00","38.23","38.23","168","","Final"
"04.04.2018 00:00 - 04.04.2018 00:30","37.08","37.08","231","","Final"
"04.04.2018 00:30 - 04.04.2018 01:00","39.14","39.14","37","","Final"
"04.04.2018 01:00 - 04.04.2018 01:30","60.00","60.00","123","","Final"
"04.04.2018 01:30 - 04.04.2018 02:00","58.60","58.60","31","","Final"
"04.04.2018 02:00 - 04.04.2018 02:30","37.10","37.10","257","","Final"
"04.04.2018 02:30 - 04.04.2018 03:00","36.81","36.81","471","","Final"
"04.04.2018 03:00 - 04.04.2018 03:30","36.13","36.13","829","","Final"
"04.04.2018 03:30 - 04.04.2018 04:00","36.10","36.10","942","","Final"
"04.04.2018 04:00 - 04.04.2018 04:30","36.32","36.32","690","","Final"
"04.04.2018 04:30 - 04.04.2018 05:00","37.04","37.04","584","","Final"
"04.04.2018 05:00 - 04.04.2018 05:30","38.02","38.02","272","","Final"
"04.04.2018 05:30 - 04.04.2018 06:00","37.25","37.25","347","","Final"
"04.04.2018 06:00 - 04.04.2018 06:30","36.63","36.63","388","","Final"
"04.04.2018 06:30 - 04.04.2018 07:00","37.87","37.87","204","","Final"
"04.04.2018 07:00 - 04.04.2018 07:30","39.12","39.12","149","","Final"
"04.04.2018 07:30 - 04.04.2018 08:00","39.54","39.54","40","","Final"
"04.04.2018 08:00 - 04.04.2018 08:30","82.00","82.00","13","","Final"
"04.04.2018 08:30 - 04.04.2018 09:00","57.30","57.30","49","","Final"
"04.04.2018 09:00 - 04.04.2018 09:30","42.06","42.06","69","","Final"
"04.04.2018 09:30 - 04.04.2018 10:00","41.26","41.26","10","","Final"
"04.04.2018 10:00 - 04.04.2018 10:30","38.61","38.61","189","","Final"
"04.04.2018 10:30 - 04.04.2018 11:00","36.74","36.74","480","","Final"
"04.04.2018 11:00 - 04.04.2018 11:30","38.11","38.11","329","","Final"
"04.04.2018 11:30 - 04.04.2018 12:00","38.16","38.16","241","","Final"
"04.04.2018 12:00 - 04.04.2018 12:30","58.00","58.00","24","","Final"
"04.04.2018 12:30 - 04.04.2018 13:00","37.40","37.40","266","","Final"
"04.04.2018 13:00 - 04.04.2018 13:30","34.68","34.68","510","","Final"
"04.04.2018 13:30 - 04.04.2018 14:00","27.99","27.99","754","","Final"
"04.04.2018 14:00 - 04.04.2018 14:30","36.50","36.50","1032","","Final"
"04.04.2018 14:30 - 04.04.2018 15:00","37.13","37.13","746","","Final"
"04.04.2018 15:00 - 04.04.2018 15:30","38.17","38.17","110","","Final"
"04.04.2018 15:30 - 04.04.2018 16:00","39.53","39.53","57","","Final"
"04.04.2018 16:00 - 04.04.2018 16:30","87.62","87.62","554","","Final"
"04.04.2018 16:30 - 04.04.2018 17:00","75.75","75.75","479","","Final"
"04.04.2018 17:00 - 04.04.2018 17:30","67.85","67.85","98","","Final"
"04.04.2018 17:30 - 04.04.2018 18:00","67.85","67.85","64","","Final"
"04.04.2018 18:00 - 04.04.2018 18:30","39.89","39.89","69","","Final"
"04.04.2018 18:30 - 04.04.2018 19:00","72.49","72.49","259","","Final"
"04.04.2018 19:00 - 04.04.2018 19:30","75.00","75.00","293","","Final"
"04.04.2018 19:30 - 04.04.2018 20:00","68.48","68.48","183","","Final"
"04.04.2018 20:00 - 04.04.2018 20:30","68.22","68.22","58","","Final"
"04.04.2018 20:30 - 04.04.2018 21:00","39.10","39.10","65","","Final"
"04.04.2018 21:00 - 04.04.2018 21:30","37.06","37.06","362","","Final"
"04.04.2018 21:30 - 04.04.2018 22:00","36.98","36.98","420","","Final"
"04.04.2018 22:00 - 04.04.2018 22:30","37.70","37.70","345","","Final"
"04.04.2018 22:30 - 04.04.2018 23:00","37.55","37.55","260","","Final"
"04.04.2018 23:00 - 04.04.2018 23:30","21.51","21.51","473","","Final"
"04.04.2018 23:30 - 05.04.2018 00:00","22.61","22.61","161","","Final"
"05.04.2018 00:00 - 05.04.2018 00:30","58.00","58.00","309","","Final"
"05.04.2018 00:30 - 05.04.2018 01:00","58.74","58.74","489","","Final"
"05.04.2018 01:00 - 05.04.2018 01:30","57.90","57.90","372","","Final"
"05.04.2018 01:30 - 05.04.2018 02:00","57.75","57.75","203","","Final"
"05.04.2018 02:00 - 05.04.2018 02:30","57.72","57.72","140","","Final"
"05.04.2018 02:30 - 05.04.2018 03:00","57.90","57.90","362","","Final"
"05.04.2018 03:00 - 05.04.2018 03:30","57.90","57.90","418","","Final"
"05.04.2018 03:30 - 05.04.2018 04:00","57.20","57.20","330","","Final"
"05.04.2018 04:00 - 05.04.2018 04:30","59.40","59.40","396","","Final"
"05.04.2018 04:30 - 05.04.2018 05:00","59.40","59.40","646","","Final"
"05.04.2018 05:00 - 05.04.2018 05:30","89.57","89.57","606","","Final"
"05.04.2018 05:30 - 05.04.2018 06:00","38.60","38.60","350","","Final"
"05.04.2018 06:00 - 05.04.2018 06:30","34.85","34.85","560","","Final"
"05.04.2018 06:30 - 05.04.2018 07:00","36.54","36.54","787","","Final"
"05.04.2018 07:00 - 05.04.2018 07:30","37.41","37.41","590","","Final"
"05.04.2018 07:30 - 05.04.2018 08:00","37.16","37.16","520","","Final"
"05.04.2018 08:00 - 05.04.2018 08:30","36.06","36.06","456","","Final"
"05.04.2018 08:30 - 05.04.2018 09:00","37.14","37.14","540","","Final"
"05.04.2018 09:00 - 05.04.2018 09:30","37.11","37.11","450","","Final"
"05.04.2018 09:30 - 05.04.2018 10:00","37.11","37.11","527","","Final"
"05.04.2018 10:00 - 05.04.2018 10:30","37.41","37.41","462","","Final"
"05.04.2018 10:30 - 05.04.2018 11:00","37.41","37.41","311","","Final"
