"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"United Kingdom (UK)","24.02.2019 09:00 - 24.02.2019 09:30 (CET)","1554","n/e","n/e","13654","70","0","n/e","n/e","n/e","3","","649","n/e","n/e","6440","67","n/e","1160","n/e","437","1815"
"United Kingdom (UK)","24.02.2019 09:30 - 24.02.2019 10:00 (CET)","1563","n/e","n/e","13745","70","0","n/e","n/e","n/e","160","","753","n/e","n/e","6440","68","n/e","2000","n/e","438","2141"
"United Kingdom (UK)","24.02.2019 10:00 - 24.02.2019 10:30 (CET)","1561","n/e","n/e","14218","70","0","n/e","n/e","n/e","234","","767","n/e","n/e","6431","69","n/e","2850","n/e","413","2355"
"United Kingdom (UK)","24.02.2019 10:30 - 24.02.2019 11:00 (CET)","1538","n/e","n/e","14477","70","0","n/e","n/e","n/e","152","","767","n/e","n/e","6436","69","n/e","3680","n/e","434","2264"
"United Kingdom (UK)","24.02.2019 11:00 - 24.02.2019 11:30 (CET)","1549","n/e","n/e","14386","70","0","n/e","n/e","n/e","152","","569","n/e","n/e","6439","71","n/e","4450","n/e","430","2319"
"United Kingdom (UK)","24.02.2019 11:30 - 24.02.2019 12:00 (CET)","1564","n/e","n/e","14050","70","0","n/e","n/e","n/e","152","","549","n/e","n/e","6440","72","n/e","5230","n/e","381","2203"
"United Kingdom (UK)","24.02.2019 12:00 - 24.02.2019 12:30 (CET)","1567","n/e","n/e","13737","70","0","n/e","n/e","n/e","150","","471","n/e","n/e","6434","72","n/e","5820","n/e","391","2404"
"United Kingdom (UK)","24.02.2019 12:30 - 24.02.2019 13:00 (CET)","1550","n/e","n/e","12941","70","0","n/e","n/e","n/e","152","","467","n/e","n/e","6441","72","n/e","6230","n/e","466","2741"
"United Kingdom (UK)","24.02.2019 13:00 - 24.02.2019 13:30 (CET)","1562","n/e","n/e","12517","70","0","n/e","n/e","n/e","157","","423","n/e","n/e","6435","72","n/e","6370","n/e","577","3129"
"United Kingdom (UK)","24.02.2019 13:30 - 24.02.2019 14:00 (CET)","1553","n/e","n/e","12356","70","0","n/e","n/e","n/e","148","","352","n/e","n/e","6433","71","n/e","6360","n/e","625","3073"
